module,type,name,res_id,src,value,comments
auth_signup,model,"mail.template,subject",auth_signup.set_password_email,${object.create_uid.name} from ${object.company_id.name} invites you to connect to Odoo,,
auth_signup,code,addons/auth_signup/models/res_users.py,126,%s connected,,
auth_signup,model_terms,"ir.ui.view,arch_db",auth_signup.res_users_view_form,<strong>A password reset has been requested for this user. An email containing the following link has been sent:</strong>,,
auth_signup,model_terms,"ir.ui.view,arch_db",auth_signup.res_users_view_form,<strong>An invitation email containing the following subscription link has been sent:</strong>,,
auth_signup,model,"mail.template,body_html",auth_signup.mail_template_data_unregistered_users,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""background-color: #F1F1F1; font-family:Verdana, Arial,sans-serif; color: #454748; width: 100%; border-collapse:separate;""><tr><td align=""center"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""padding: 16px; background-color: white; color: #454748; border-collapse:separate;"">
<tbody>
    <!-- CONTENT -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                 % set invited_users = ctx['invited_users']
                <td style=""text-align : left"">
                    <span style=""font-size: 20px; font-weight: bold;"">
                        Pending Invitations
                    </span><br/><br/>
                </td>
                <tr><td valign=""top"" style=""font-size: 13px;"">
                    <div>
                        Dear ${object.name or ''},<br/> <br/>
                        You added the following user(s) to your database but they haven't registered yet:
                        <ul>
                            % for invited_user in invited_users:
                                <li>${invited_user}</li>
                            % endfor
                        </ul>
                        Follow up with them so they can access your database and start working with you.
                        <br/><br/>
                        Have a nice day!<br/>
                        --<br/>The ${object.company_id.name} Team
                    </div>
                </td></tr>
                <tr><td style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
</tbody>
</table>
</td></tr>
</table>
            ",,
auth_signup,model,"mail.template,body_html",auth_signup.set_password_email,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""padding-top: 16px; background-color: #F1F1F1; font-family:Verdana, Arial,sans-serif; color: #454748; width: 100%; border-collapse:separate;""><tr><td align=""center"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""padding: 16px; background-color: white; color: #454748; border-collapse:separate;"">
<tbody>
    <!-- HEADER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"">
                    <span style=""font-size: 10px;"">Welcome to Odoo</span><br/>
                    <span style=""font-size: 20px; font-weight: bold;"">
                        ${object.name}
                    </span>
                </td><td valign=""middle"" align=""right"">
                    <img src=""/logo.png?company=${object.company_id.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${object.company_id.name}""/>
                </td></tr>
                <tr><td colspan=""2"" style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- CONTENT -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""top"" style=""font-size: 13px;"">
                    <div>
                        Dear ${object.name},<br/><br/>
                        You have been invited by ${object.create_uid.name} of ${object.company_id.name} to connect on Odoo.
                        <div style=""margin: 16px 0px 16px 0px;"">
                            <a href=""${object.signup_url}"" style=""background-color: #875A7B; padding: 8px 16px 8px 16px; text-decoration: none; color: #fff; border-radius: 5px; font-size:13px;"">
                                Accept invitation
                            </a>
                        </div>
                        % set website_url = object.env['ir.config_parameter'].sudo().get_param('web.base.url')
                        Your Odoo domain is: <b><a href=""${website_url}"">${website_url}</a></b><br/>
                        Your sign in email is: <b><a href=""/web/login?login=${object.email}"" target=""_blank"">${object.email}</a></b><br/><br/>
                        Never heard of Odoo? It’s an all-in-one business software loved by 3+ million users. It will considerably improve your experience at work and increase your productivity.
                        <br/><br/>
                        Have a look at the <a href=""https://www.odoo.com/page/tour?utm_source=db&amp;utm_medium=auth"" style=""color: #875A7B;"">Odoo Tour</a> to discover the tool.
                        <br/><br/>
                        Enjoy Odoo!<br/>
                        --<br/>The ${object.company_id.name} Team
                    </div>
                </td></tr>
                <tr><td style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- FOOTER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; font-size: 11px; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"" align=""left"">
                    ${object.company_id.name}
                </td></tr>
                <tr><td valign=""middle"" align=""left"" style=""opacity: 0.7;"">
                    ${object.company_id.phone}
                    % if object.company_id.email
                        | <a href=""'mailto:%s' % ${object.company_id.email}"" style=""text-decoration:none; color: #454748;"">${object.company_id.email}</a>
                    % endif
                    % if object.company_id.website
                        | <a href=""'%s' % ${object.company_id.website}"" style=""text-decoration:none; color: #454748;"">
                        ${object.company_id.website}
                    </a>
                    % endif
                </td></tr>
            </table>
        </td>
    </tr>
</tbody>
</table>
</td></tr>
<!-- POWERED BY -->
<tr><td align=""center"" style=""min-width: 590px;"">
    <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: #F1F1F1; color: #454748; padding: 8px; border-collapse:separate;"">
      <tr><td style=""text-align: center; font-size: 13px;"">
        Powered by <a target=""_blank"" href=""https://www.odoo.com?utm_source=db&amp;utm_medium=auth"" style=""color: #875A7B;"">Odoo</a>
      </td></tr>
    </table>
</td></tr>
</table>",,
auth_signup,model,"mail.template,body_html",auth_signup.reset_password_email,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""padding-top: 16px; background-color: #F1F1F1; font-family:Verdana, Arial,sans-serif; color: #454748; width: 100%; border-collapse:separate;""><tr><td align=""center"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""padding: 16px; background-color: white; color: #454748; border-collapse:separate;"">
<tbody>
    <!-- HEADER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"">
                    <span style=""font-size: 10px;"">Your Account</span><br/>
                    <span style=""font-size: 20px; font-weight: bold;"">
                        ${object.name}
                    </span>
                </td><td valign=""middle"" align=""right"">
                    <img src=""/logo.png?company=${object.company_id.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${object.company_id.name}""/>
                </td></tr>
                <tr><td colspan=""2"" style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- CONTENT -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""top"" style=""font-size: 13px;"">
                    <div>
                        Dear ${object.name},<br/><br/>
                        A password reset was requested for the Odoo account linked to this email.
                        You may change your password by following this link which will remain valid during 24 hours:<br/>
                        <div style=""margin: 16px 0px 16px 0px;"">
                            <a href=""${object.signup_url}"" style=""background-color: #875A7B; padding: 8px 16px 8px 16px; text-decoration: none; color: #fff; border-radius: 5px; font-size:13px;"">
                                Change password
                            </a>
                        </div>
                        If you do not expect this, you can safely ignore this email.<br/><br/>
                        Thanks,<br/>
                        ${user.signature | safe}<br/>
                    </div>
                </td></tr>
                <tr><td style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- FOOTER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; font-size: 11px; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"" align=""left"">
                    ${object.company_id.name}
                </td></tr>
                <tr><td valign=""middle"" align=""left"" style=""opacity: 0.7;"">
                    ${object.company_id.phone}
                    % if object.company_id.email
                        | <a href=""'mailto:%s' % ${object.company_id.email}"" style=""text-decoration:none; color: #454748;"">${object.company_id.email}</a>
                    % endif
                    % if object.company_id.website
                        | <a href=""'%s' % ${object.company_id.website}"" style=""text-decoration:none; color: #454748;"">
                        ${object.company_id.website}
                    </a>
                    % endif
                </td></tr>
            </table>
        </td>
    </tr>
</tbody>
</table>
</td></tr>
<!-- POWERED BY -->
<tr><td align=""center"" style=""min-width: 590px;"">
    <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: #F1F1F1; color: #454748; padding: 8px; border-collapse:separate;"">
      <tr><td style=""text-align: center; font-size: 13px;"">
        Powered by <a target=""_blank"" href=""https://www.odoo.com?utm_source=db&amp;utm_medium=auth"" style=""color: #875A7B;"">Odoo</a>
      </td></tr>
    </table>
</td></tr>
</table>
            ",,
auth_signup,model,"mail.template,body_html",auth_signup.mail_template_user_signup_account_created,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""padding-top: 16px; background-color: #F1F1F1; font-family:Verdana, Arial,sans-serif; color: #454748; width: 100%; border-collapse:separate;""><tr><td align=""center"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""padding: 16px; background-color: white; color: #454748; border-collapse:separate;"">
<tbody>
    <!-- HEADER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"">
                    <span style=""font-size: 10px;"">Your Account</span><br/>
                    <span style=""font-size: 20px; font-weight: bold;"">
                        ${object.name}
                    </span>
                </td><td valign=""middle"" align=""right"">
                    <img src=""/logo.png?company=${object.company_id.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${object.company_id.name}""/>
                </td></tr>
                <tr><td colspan=""2"" style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- CONTENT -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""top"" style=""font-size: 13px;"">
                    <div>
                        Dear ${object.name},<br/><br/>
                        Your account has been successfully created!<br/>
                        Your login is <strong>${object.email}</strong><br/>
                        To gain access to your account, you can use the following link:
                        <div style=""margin: 16px 0px 16px 0px;"">
                            <a href=""/web/login?${ctx['auth_login']}"" style=""background-color: #875A7B; padding: 8px 16px 8px 16px; text-decoration: none; color: #fff; border-radius: 5px; font-size:13px;"">
                                Go to My Account
                            </a>
                        </div>
                        Thanks,<br/><br/>
                        ${user.signature | safe}<br/>
                    </div>
                </td></tr>
                <tr><td style=""text-align:center;"">
                  <hr width=""100%"" style=""background-color:rgb(204,204,204);border:medium none;clear:both;display:block;font-size:0px;min-height:1px;line-height:0; margin: 16px 0px 16px 0px;""/>
                </td></tr>
            </table>
        </td>
    </tr>
    <!-- FOOTER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: white; font-size: 11px; padding: 0px 8px 0px 8px; border-collapse:separate;"">
                <tr><td valign=""middle"" align=""left"">
                    ${object.company_id.name}
                </td></tr>
                <tr><td valign=""middle"" align=""left"" style=""opacity: 0.7;"">
                    ${object.company_id.phone}
                    % if object.company_id.email
                        | <a href=""'mailto:%s' % ${object.company_id.email}"" style=""text-decoration:none; color: #454748;"">${object.company_id.email}</a>
                    % endif
                    % if object.company_id.website
                        | <a href=""'%s' % ${object.company_id.website}"" style=""text-decoration:none; color: #454748;"">
                        ${object.company_id.website}
                    </a>
                    % endif
                </td></tr>
            </table>
        </td>
    </tr>
</tbody>
</table>
</td></tr>
<!-- POWERED BY -->
<tr><td align=""center"" style=""min-width: 590px;"">
    <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""590"" style=""min-width: 590px; background-color: #F1F1F1; color: #454748; padding: 8px; border-collapse:separate;"">
      <tr><td style=""text-align: center; font-size: 13px;"">
        Powered by <a target=""_blank"" href=""https://www.odoo.com?utm_source=db&amp;utm_medium=auth"" style=""color: #875A7B;"">Odoo</a>
      </td></tr>
    </table>
</td></tr>
</table>",,
auth_signup,model_terms,"ir.ui.view,arch_db",auth_signup.signup,Already have an account?,,
auth_signup,code,addons/auth_signup/controllers/main.py,83,An email has been sent with credentials to reset your password,,
